date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-23,PA,Quatipuru,city,241,7,True,13608,1506112,1771.01705,0.029
2020-06-23,PA,Redenção,city,829,12,True,84787,1506138,977.74423,0.0145
2020-06-23,PA,Rio Maria,city,350,1,True,18193,1506161,1923.81685,0.0029
2020-06-23,PA,Rondon do Pará,city,139,13,True,52357,1506187,265.48504,0.0935
2020-06-23,PA,Rurópolis,city,318,3,True,50510,1506195,629.5783,0.0094
2020-06-23,PA,Salinópolis,city,391,29,True,40675,1506203,961.27843,0.0742
2020-06-23,PA,Salvaterra,city,260,12,True,23752,1506302,1094.64466,0.0462
2020-06-23,PA,Santa Bárbara do Pará,city,220,10,True,21079,1506351,1043.69277,0.0455
2020-06-23,PA,Santa Cruz do Arari,city,85,5,True,10128,1506401,839.2575,0.0588
2020-06-23,PA,Santa Izabel do Pará,city,422,30,True,70801,1506500,596.03678,0.0711
2020-06-23,PA,Santa Luzia do Pará,city,111,7,True,19848,1506559,559.2503,0.0631
2020-06-23,PA,Santa Maria das Barreiras,city,66,2,True,21449,1506583,307.70665,0.0303
2020-06-23,PA,Santa Maria do Pará,city,142,13,True,24861,1506609,571.17574,0.0915
2020-06-23,PA,Santana do Araguaia,city,88,3,True,72817,1506708,120.8509,0.0341
2020-06-23,PA,Santarém,city,2157,161,True,304589,1506807,708.1674,0.0746
2020-06-23,PA,Santarém Novo,city,100,3,True,6709,1506906,1490.5351,0.03
2020-06-23,PA,Santo Antônio do Tauá,city,323,22,True,31482,1507003,1025.9831,0.0681
2020-06-23,PA,São Caetano de Odivelas,city,329,15,True,18050,1507102,1822.71468,0.0456
2020-06-23,PA,São Domingos do Araguaia,city,224,4,True,25557,1507151,876.4722,0.0179
2020-06-23,PA,São Domingos do Capim,city,62,3,True,31989,1507201,193.81662,0.0484
2020-06-23,PA,São Félix do Xingu,city,394,5,True,128481,1507300,306.66013,0.0127
2020-06-23,PA,São Francisco do Pará,city,66,3,True,15882,1507409,415.56479,0.0455
2020-06-23,PA,São Geraldo do Araguaia,city,258,12,True,24847,1507458,1038.35473,0.0465
2020-06-23,PA,São João da Ponta,city,23,2,True,6139,1507466,374.65385,0.087
2020-06-23,PA,São João de Pirabas,city,156,15,True,23045,1507474,676.93643,0.0962
2020-06-23,PA,São João do Araguaia,city,15,2,True,13996,1507508,107.17348,0.1333
2020-06-23,PA,São Miguel do Guamá,city,861,25,True,58986,1507607,1459.6684,0.029
2020-06-23,PA,São Sebastião da Boa Vista,city,236,8,True,26640,1507706,885.88589,0.0339
2020-06-23,PA,Sapucaia,city,32,1,True,5930,1507755,539.62901,0.0312
2020-06-23,PA,Senador José Porfírio,city,360,15,True,11658,1507805,3088.00823,0.0417
2020-06-23,PA,Soure,city,182,7,True,25374,1507904,717.26965,0.0385
2020-06-23,PA,Tailândia,city,813,20,True,106339,1507953,764.53606,0.0246
2020-06-23,PA,Terra Alta,city,155,9,True,11720,1507961,1322.5256,0.0581
2020-06-23,PA,Terra Santa,city,127,2,True,18769,1507979,676.64766,0.0157
2020-06-23,PA,Tomé-Açu,city,463,31,True,63447,1508001,729.74294,0.067
2020-06-23,PA,Tracuateua,city,261,9,True,30959,1508035,843.05049,0.0345
2020-06-23,PA,Trairão,city,146,2,True,18989,1508050,768.86619,0.0137
2020-06-23,PA,Tucumã,city,569,8,True,39602,1508084,1436.79612,0.0141
2020-06-23,PA,Tucuruí,city,963,75,True,113659,1508100,847.27122,0.0779
2020-06-23,PA,Ulianópolis,city,360,10,True,59210,1508126,608.0054,0.0278
2020-06-23,PA,Uruará,city,322,4,True,45476,1508159,708.06579,0.0124
2020-06-23,PA,Vigia,city,191,19,True,53686,1508209,355.77245,0.0995
2020-06-23,PA,Viseu,city,842,15,True,61403,1508308,1371.2685,0.0178
2020-06-23,PA,Vitória do Xingu,city,468,13,True,15134,1508357,3092.37479,0.0278
2020-06-23,PA,Xinguara,city,518,8,True,44751,1508407,1157.51603,0.0154
2020-06-23,PA,,state,91708,4726,True,8602865,15,1066.01696,0.0515
